# 一簡
一	y
三	s
上	i
不	b
了	l
人	r
他	t
你	n
個	g
們	m
去	q
可	k
和	h
在	z
就	j
平	p
我	w
是	e
有	v
此	c
的	d
看	u
而	x
著	o
這	f
那	a
# SB
不能	ba
不但	bi
不是	bo
必須	bu
不過	bv
才能	ca
操作	ci
此時	co
採用	cu
存在	cv
到了	da
多少	di
但是	do
當然	du
東西	dv
生活	ea
時候	ei
時間	eo
什麽	eu
上面	ev
只能	fa
這個	fi
知道	fo
這麽	fu
這樣	fv
更加	ga
工作	gi
國家	go
過程	gu
過去	gv
孩子	ha
好像	hi
還是	ho
好的	hu
還有	hv
繼續	ja
幾個	ji
就是	jo
幾乎	ju
今天	jv
可以	ka
況且	ki
可是	ko
看看	ku
看到	kv
領導	la
兩個	li
來說	lo
了解	lu
裡面	lv
媽媽	ma
每個	mi
目前	mo
明白	mu
沒有	mv
努力	na
你們	ni
難道	no
那麽	nu
那樣	nv
普通	pa
配合	pi
漂亮	po
品質	pu
朋友	pv
正好	qa
這些	qi
其實	qo
準備	qu
起來	qv
人民	ra
如果	ri
認為	ro
然後	ru
然而	rv
所以	sa
三個	si
隨著	so
雖然	su
所有	sv
提出	ta
他們	ti
特別	to
他的	tu
天天	tv
為了	wa
我們	wi
問題	wo
我的	wu
完成	wv
喜歡	xa
而且	xi
而是	xo
許多	xu
現在	xv
已經	ya
一個	yi
因為	yo
以後	yu
一下	yv
自己	za
暫且	zi
作為	zo
怎麽	zu
怎樣	zv
# 鍵道 sybb
賓	bb
濱	bba
繽	bbaa
繽	bbaaoo
瀕	bbai
瀕	bbaivi
濱	bbaooa
擯	bbi
髕	bbia
髕	bbiaoo
豳	bbiav
豳	bbiavu
儐	bbio
鑌	bbioo
儐	bbiooa
鑌	bbiooo
擯	bbiuoo
鬢	bbiv
鬢	bbivoo
斌	bbo
賓	bbooao
斌	bbovvv
臏	bbu
邠	bbuo
邠	bbuoai
臏	bbuooa
彬	bbv
檳	bbvo
檳	bbvooa
殯	bbvu
殯	bbvuoo
玢	bbvv
玢	bbvvuo
彬	bbvvuu
表	bc
婊	bca
瀌	bcao
瀌	bcaovu
婊	bcauvv
彪	bci
幖	bcia
幖	bciavi
蔈	bcii
藨	bciio
藨	bciiov
蔈	bciivi
鏢	bcio
鑣	bcioo
鑣	bcioov
錶	bciov
儦	bciova
儦	bciova
鏢	bciovi
錶	bciovv
摽	bciu
摽	bciuvi
驃	bciv
驃	bciv
驫	bcivi
驫	bciviv
髟	bcivu
彪	bcivuu
髟	bcivuu
俵	bcivv
俵	bcivvi
裱	bco
裱	bcoavv
瘭	bcov
瘭	bcovvi
膘	bcu
飈	bcua
飈	bcuaou
颮	bcuau
颮	bcuaua
鰾	bcuav
鰾	bcuavi
熛	bcuo
熛	bcuovi
脿	bcuv
膘	bcuvia
脿	bcuvvi
標	bcv
飆	bcvu
杓	bcvua
杓	bcvuao
飆	bcvuua
嫑	bcvuv
嫑	bcvuvi
標	bcvvia
表	bcvvua
別	bd
蔽	bdi
蔽	bdiiou
憋	bdo
別	bdoaii
鱉	bdou
彆	bdoua
彆	bdouav
蹩	bdouo
憋	bdouoa
蹩	bdouoi
鱉	bdouua
癟	bdov
吡	bdova
吡	bdovau
癟	bdovui
辦	bf
絆	bfa
絆	bfaaou
阪	bfai
阪	bfaiuu
湴	bfao
湴	bfaouv
搬	bfi
蝂	bfia
蝂	bfiaui
伴	bfio
鈑	bfiou
鈑	bfiouu
伴	bfiouv
扳	bfiu
拌	bfiuo
拌	bfiuou
扮	bfiuu
扮	bfiuuo
扳	bfiuuu
搬	bfiuuu
半	bfo
闆	bfoi
闆	bfoioo
昄	bfoiu
昄	bfoiuu
半	bfouvv
瓣	bfov
辦	bfovau
𨭉	bfovi
𨭉	bfovio
瘢	bfovu
瓣	bfovuu
瘢	bfovuu
癍	bfovv
癍	bfovvv
般	bfu
版	bfui
版	bfuiuu
頒	bfuo
攽	bfuou
攽	bfuouv
頒	bfuovu
舨	bfuu
般	bfuuua
舨	bfuuuu
班	bfv
靽	bfvi
靽	bfviou
坂	bfvo
柈	bfvou
坂	bfvouu
柈	bfvouv
板	bfvu
板	bfvuua
斑	bfvv
班	bfvvou
斑	bfvvov
並	bg
屏	bga
屏	bgavou
摒	bgi
蛃	bgia
蛃	bgiavi
餅	bgio
餅	bgioou
併	bgiou
併	bgiouv
摒	bgiuav
病	bgo
昺	bgoi
昺	bgoivi
炳	bgou
并	bgouv
並	bgouvi
炳	bgouvi
并	bgouvv
冰	bgov
冰	bgovaa
稟	bgovi
稟	bgovia
病	bgovvi
兵	bgu
兵	bguiuo
秉	bguv
秉	bguvav
柄	bgv
丙	bgvi
邴	bgvia
邴	bgviai
丙	bgviau
檳	bgvo
檳	bgvooa
栟	bgvou
栟	bgvouv
柄	bgvvia
白	bh
敗	bha
湃	bhai
湃	bhaiuv
敗	bhaouv
擺	bhi
拜	bhiu
伯	bhiui
伯	bhiuia
擺	bhiuia
捭	bhiuu
捭	bhiuui
掰	bhiuuo
掰	bhiuuo
拜	bhiuvv
佰	bhiv
佰	bhivuo
唄	bho
襬	bhoa
襬	bhoaia
唄	bhoaoo
粺	bhou
粺	bhouui
稗	bhu
白	bhuiav
稗	bhuvui
百	bhv
柏	bhvu
柏	bhvuia
百	bhvuoi
部	bj
陟	bja
陟	bjaiiv
步	bji
蔀	bjii
蔀	bjiiov
卜	bjio
卜	bjioo
鈈	bjiov
堡	bjiovo
堡	bjiovo
鈈	bjiovu
鈽	bjiovu
鈽	bjiovu
捕	bjiu
捕	bjiuvi
佈	bjiv
步	bjiviu
佈	bjivui
補	bjo
訃	bjoa
訃	bjoaio
補	bjoavi
晡	bjoi
卟	bjoio
卟	bjoioo
晡	bjoivi
怖	bjoo
怖	bjoovu
哺	bjov
部	bjovai
哺	bjovia
瓿	bjovv
瓿	bjovva
簿	bju
阜	bjui
阜	bjuiuo
簿	bjuvav
布	bjv
逋	bjvi
醭	bjvii
醭	bjviii
逋	bjvioa
鵏	bjviu
鵏	bjviui
埠	bjvo
埗	bjvoi
埗	bjvoiv
埠	bjvoui
埔	bjvov
埔	bjvovi
不	bjvu
布	bjvuia
不	bjvuio
比	bk
避	bka
紕	bkaa
紕	bkaava
陛	bkai
陛	bkaiva
泌	bkao
贔	bkaoa
泌	bkaoao
贔	bkaoao
婢	bkau
濞	bkaui
濞	bkauia
媲	bkauu
婢	bkauui
媲	bkauui
妣	bkauv
妣	bkauva
潷	bkauvo
潷	bkauvo
壁	bkav
嬖	bkava
嬖	bkavau
沘	bkavau
沘	bkavau
擘	bkavi
鐾	bkavio
鐾	bkavio
擘	bkaviu
屄	bkavo
避	bkavoa
屄	bkavoo
襞	bkavov
襞	bkavov
辟	bkavov
辟	bkavov
臂	bkavu
臂	bkavuu
璧	bkavv
壁	bkavvo
弼	bkavvu
弼	bkavvu
璧	bkavvv
畢	bki
髀	bkia
睥	bkiau
睥	bkiaui
髀	bkiaui
畀	bkiav
毗	bkiava
毗	bkiava
蚍	bkiava
蚍	bkiava
畢	bkiavi
畀	bkiavu
蔽	bkii
薜	bkiia
薜	bkiiav
蓽	bkiii
蓽	bkiiia
苾	bkiio
苾	bkiioa
蔽	bkiiou
蓖	bkiiu
萆	bkiiui
萆	bkiiui
蓖	bkiiui
荸	bkiiuo
荸	bkiiuo
芘	bkiiv
芘	bkiiva
鉍	bkio
佖	bkioa
佖	bkioao
鉍	bkiooa
俾	bkiu
俾	bkiuia
捭	bkiuu
捭	bkiuui
仳	bkiv
仳	bkivau
必	bko
裨	bkoa
邲	bkoaa
邲	bkoaai
詖	bkoaau
詖	bkoaau
祕	bkoao
祕	bkoaoa
謐	bkoaoa
謐	bkoaoa
必	bkoaou
裨	bkoaui
閉	bkoi
闢	bkoia
闢	bkoia
跛	bkoiau
跛	bkoiau
嗶	bkoiav
嗶	bkoiav
蹕	bkoii
蹕	bkoiia
閉	bkoivi
愎	bkoo
咇	bkooa
咇	bkooao
愎	bkoouv
幣	bkou
鄙	bkoua
鄙	bkouai
幣	bkouia
敝	bkouu
敝	bkouuv
斃	bkouv
弊	bkouvu
弊	bkouvu
斃	bkouvu
庇	bkov
吡	bkova
吡	bkovau
痹	bkovi
痹	bkovi
痺	bkovu
庳	bkovui
庳	bkovui
痺	bkovui
庇	bkovva
筆	bku
匕	bkua
匕	bkuaa
狴	bkuav
狴	bkuava
鰏	bkuavo
鰏	bkuavo
鼻	bkui
鼻	bkuiia
賁	bkuo
賁	bkuoao
貔	bkuou
貔	bkuoui
彼	bkuu
彼	bkuuau
舭	bkuuv
舭	bkuuva
篳	bkuv
筆	bkuvav
箅	bkuvi
箅	bkuvia
篳	bkuvia
馝	bkuvo
馝	bkuvoa
篦	bkuvu
稗	bkuvui
稗	bkuvui
篦	bkuvui
秕	bkuvv
秕	bkuvva
逼	bkv
毖	bkva
毖	bkvaoa
比	bkvaua
坒	bkvav
坒	bkvavo
逼	bkvooa
皕	bkvu
觱	bkvuu
觱	bkvuua
皕	bkvuvu
碧	bkvv
珌	bkvvo
珌	bkvvoa
碧	bkvvvu
撥	bl
波	bla
剝	blaa
剝	blaaii
波	blaaui
畚	blao
畚	blaovu
泊	blau
洎	blaui
泊	blauia
洎	blauia
渤	blauo
浡	blauoo
浡	blauoo
渤	blauoo
擘	blav
擘	blaviu
檗	blavv
檗	blavvv
播	bli
嶓	blia
嶓	bliauo
薄	blii
菠	bliia
菠	bliiaa
薄	bliiav
薜	bliiav
薜	bliiav
菝	bliii
菝	bliiiu
蕃	bliiu
菔	bliiua
菔	bliiua
蔔	bliiua
蔔	bliiua
荸	bliiuo
荸	bliiuo
蕃	bliiuo
鉢	blio
𨨏	blioa
𨨏	blioaa
卜	blioo
卜	blioo
餑	bliou
鉑	blioui
鉑	blioui
餑	bliouo
鈸	bliov
鉢	bliovi
鎛	bliovi
鎛	bliovi
鈸	bliovu
伯	bliu
伯	bliu
撥	bliuao
捭	bliuu
捭	bliuui
播	bliuuo
搏	bliuv
搏	bliuvi
摶	bliuvi
摶	bliuvi
駁	bliv
駮	blivo
駮	blivov
駁	blivuo
跛	blo
啵	bloa
襏	bloaa
襏	bloaao
啵	bloaau
踣	bloi
跛	bloiau
踣	bloiov
趵	bloiu
趵	bloiua
亳	blov
亳	blovuv
博	blu
鮊	blua
鮊	bluaui
鮁	bluav
鮁	bluavu
帛	blui
帛	bluiia
魄	bluiu
魄	bluiui
勃	bluo
孛	bluoa
孛	bluoai
勃	bluoau
鵓	bluou
鵓	bluoui
貊	bluov
博	bluovi
貊	bluovu
脖	bluu
脖	bluuoo
舶	bluuu
般	bluuua
般	bluuua
舶	bluuui
膊	bluv
箔	bluva
箔	bluvau
簿	bluvav
簿	bluvav
膊	bluvia
馞	bluvu
馞	bluvuo
簸	bluvv
簸	bluvvi
玻	blv
僰	blvi
欂	blvii
欂	blviia
僰	blvivi
雹	blvo
雹	blvoua
柏	blvu
礴	blvui
柏	blvuia
礴	blvuii
桲	blvuo
桲	blvuoo
磻	blvuu
磻	blvuuo
砵	blvuv
砵	blvuvi
玻	blvvau
變	bm
編	bma
緶	bmaa
緶	bmaaiv
編	bmaauu
貶	bmao
𨚕	bmaoa
𨚕	bmaoai
貶	bmaouo
汴	bmaov
汴	bmaovi
弁	bmaovu
弁	bmaovu
便	bmi
蝙	bmia
蝙	bmiauu
苄	bmii
苄	bmiiov
萹	bmiiu
萹	bmiiuu
抃	bmiu
抃	bmiuov
便	bmivia
褊	bmo
褊	bmoauu
變	bmoauv
昪	bmoi
昪	bmoiao
窆	bmoo
忭	bmooo
忭	bmooov
窆	bmoouo
煸	bmou
煸	bmouuu
辯	bmov
辮	bmova
辮	bmovaa
卞	bmovi
卞	bmovio
辨	bmovo
辯	bmovoa
辨	bmovou
邊	bmu
鯿	bmua
鯿	bmuauu
邊	bmuioa
遍	bmuu
扁	bmuui
扁	bmuuia
遍	bmuuoa
籩	bmuv
籩	bmuvui
鞭	bmv
鞭	bmviiv
砭	bmvu
匾	bmvuu
匾	bmvuua
砭	bmvuuo
碥	bmvuuu
碥	bmvuuu
本	bn
畚	bna
畚	bnaoia
苯	bni
苯	bniivi
錛	bnio
錛	bniovu
倴	bniv
倴	bnivuo
笨	bnu
賁	bnuo
賁	bnuoao
坌	bnuov
坌	bnuovo
犇	bnuv
犇	bnuvuv
笨	bnuvvi
奔	bnv
本	bnviuo
栟	bnvo
坋	bnvou
坋	bnvouo
栟	bnvouv
夯	bnvu
夯	bnvuau
奔	bnvuuo
幫	bp
綁	bpa
綁	bpaavv
浜	bpau
浜	bpauiv
鎊	bpi
蚌	bpia
螃	bpiao
螃	bpiaov
蚌	bpiavv
蒡	bpii
蒡	bpiiov
傍	bpio
鎊	bpioov
傍	bpiovo
搒	bpiu
搒	bpiuov
謗	bpo
謗	bpoaov
𠳐	bpov
𠳐	bpovvu
膀	bpu
膀	bpuovo
邦	bpv
彭	bpvo
塝	bpvoo
塝	bpvoov
幫	bpvoui
彭	bpvouu
榜	bpvov
甏	bpvova
甏	bpvova
棓	bpvovo
棓	bpvovo
榜	bpvovo
磅	bpvu
泵	bpvua
泵	bpvuaa
磅	bpvuov
棒	bpvv
邦	bpvvai
梆	bpvvv
梆	bpvvvv
棒	bpvvvv
玤	bpvvvv
玤	bpvvvv
蹦	br
繃	bra
繃	braaia
崩	bri
蚌	bria
崩	briauu
蚌	briavv
鏰	brio
鏰	brioia
迸	bro
祊	broa
祊	broaov
嘣	broi
嘣	broiai
蹦	broiia
迸	brouoa
甏	brv
堋	brvo
堋	brvouu
甏	brvova
泵	brvu
泵	brvuaa
磅	brvuo
磅	brvuov
甭	brvuu
甭	brvuua
琫	brvv
琫	brvvvv
把	bs
巴	bsa
巴	bsaiva
妭	bsau
